order_item_id,order_id,product_id,category,quantity,unit_price
ITEM_0000001,ORD_000001,PROD_BEA_346,Beauty,1,47.65
ITEM_0000002,ORD_000002,PROD_HOM_402,Home,1,149.86
ITEM_0000003,ORD_000003,PROD_BOO_865,Books,1,29.48
ITEM_0000004,ORD_000004,PROD_BOO_443,Books,1,9.21
ITEM_0000005,ORD_000004,PROD_HOM_152,Home,1,67.53
ITEM_0000006,ORD_000005,PROD_BOO_821,Books,1,23.61
ITEM_0000007,ORD_000006,PROD_BEA_855,Beauty,2,39.01
ITEM_0000008,ORD_000007,PROD_APP_428,Apparel,1,32.38
ITEM_0000009,ORD_000007,PROD_BEA_383,Beauty,1,28.64
ITEM_0000010,ORD_000008,PROD_BEA_826,Beauty,1,51.27
ITEM_0000011,ORD_000008,PROD_HOM_562,Home,1,123.99
ITEM_0000012,ORD_000009,PROD_HOM_526,Home,2,90.39
ITEM_0000013,ORD_000009,PROD_APP_585,Apparel,1,43.85
ITEM_0000014,ORD_000010,PROD_APP_954,Apparel,2,56.9
ITEM_0000015,ORD_000011,PROD_HOM_597,Home,1,110.59
ITEM_0000016,ORD_000011,PROD_BOO_555,Books,1,20.48
ITEM_0000017,ORD_000012,PROD_APP_265,Apparel,1,17.67
ITEM_0000018,ORD_000013,PROD_BEA_427,Beauty,1,58.51
ITEM_0000019,ORD_000013,PROD_BOO_619,Books,1,23.52
ITEM_0000020,ORD_000014,PROD_BOO_782,Books,1,20.44
ITEM_0000021,ORD_000014,PROD_BEA_446,Beauty,1,46.58
ITEM_0000022,ORD_000015,PROD_BOO_503,Books,1,14.99
ITEM_0000023,ORD_000016,PROD_HOM_507,Home,1,130.99
ITEM_0000024,ORD_000016,PROD_HOM_495,Home,1,57.0
ITEM_0000025,ORD_000016,PROD_HOM_415,Home,3,133.66
ITEM_0000026,ORD_000017,PROD_BEA_395,Beauty,1,46.4
ITEM_0000027,ORD_000018,PROD_BOO_712,Books,1,12.57
ITEM_0000028,ORD_000019,PROD_ELE_704,Electronics,1,71.84
ITEM_0000029,ORD_000019,PROD_BEA_754,Beauty,2,30.73
ITEM_0000030,ORD_000019,PROD_BOO_573,Books,1,24.62
ITEM_0000031,ORD_000019,PROD_APP_304,Apparel,1,39.82
ITEM_0000032,ORD_000020,PROD_BOO_411,Books,1,24.28
ITEM_0000033,ORD_000020,PROD_APP_127,Apparel,1,25.01
ITEM_0000034,ORD_000021,PROD_ELE_769,Electronics,1,143.57
ITEM_0000035,ORD_000021,PROD_APP_603,Apparel,2,56.91
ITEM_0000036,ORD_000022,PROD_BOO_159,Books,1,18.14
ITEM_0000037,ORD_000023,PROD_HOM_946,Home,1,123.98
ITEM_0000038,ORD_000024,PROD_HOM_943,Home,1,37.8
ITEM_0000039,ORD_000025,PROD_ELE_219,Electronics,1,372.43
ITEM_0000040,ORD_000026,PROD_BEA_711,Beauty,1,58.51
ITEM_0000041,ORD_000027,PROD_APP_977,Apparel,1,59.72
ITEM_0000042,ORD_000028,PROD_ELE_872,Electronics,1,84.57
ITEM_0000043,ORD_000029,PROD_HOM_129,Home,1,129.96
ITEM_0000044,ORD_000030,PROD_APP_975,Apparel,1,62.36
ITEM_0000045,ORD_000031,PROD_BOO_322,Books,1,29.21
ITEM_0000046,ORD_000031,PROD_APP_872,Apparel,1,78.28
ITEM_0000047,ORD_000032,PROD_ELE_632,Electronics,1,314.42
ITEM_0000048,ORD_000033,PROD_HOM_283,Home,1,107.64
ITEM_0000049,ORD_000033,PROD_ELE_505,Electronics,1,277.08
ITEM_0000050,ORD_000034,PROD_APP_166,Apparel,1,27.94
ITEM_0000051,ORD_000034,PROD_APP_709,Apparel,1,41.28
ITEM_0000052,ORD_000034,PROD_APP_958,Apparel,1,47.44
ITEM_0000053,ORD_000034,PROD_BOO_707,Books,1,25.37
ITEM_0000054,ORD_000035,PROD_BOO_514,Books,3,19.25
ITEM_0000055,ORD_000036,PROD_APP_743,Apparel,2,16.93
ITEM_0000056,ORD_000037,PROD_BEA_616,Beauty,1,27.18
ITEM_0000057,ORD_000037,PROD_BOO_659,Books,1,24.81
ITEM_0000058,ORD_000038,PROD_BEA_422,Beauty,2,32.13
ITEM_0000059,ORD_000039,PROD_BOO_157,Books,1,18.88
ITEM_0000060,ORD_000039,PROD_BEA_731,Beauty,1,48.32
ITEM_0000061,ORD_000039,PROD_HOM_428,Home,1,96.76
ITEM_0000062,ORD_000040,PROD_HOM_217,Home,1,22.56
ITEM_0000063,ORD_000040,PROD_HOM_138,Home,1,132.24
ITEM_0000064,ORD_000041,PROD_HOM_270,Home,1,67.23
ITEM_0000065,ORD_000041,PROD_BEA_306,Beauty,1,52.37
ITEM_0000066,ORD_000042,PROD_APP_455,Apparel,1,57.35
ITEM_0000067,ORD_000043,PROD_BOO_420,Books,1,16.85
ITEM_0000068,ORD_000044,PROD_BEA_679,Beauty,1,12.99
ITEM_0000069,ORD_000044,PROD_APP_473,Apparel,1,30.62
ITEM_0000070,ORD_000045,PROD_BEA_426,Beauty,2,55.56
ITEM_0000071,ORD_000045,PROD_APP_966,Apparel,1,68.54
ITEM_0000072,ORD_000046,PROD_HOM_774,Home,1,103.76
ITEM_0000073,ORD_000047,PROD_ELE_421,Electronics,1,352.18
ITEM_0000074,ORD_000048,PROD_BOO_225,Books,1,14.9
ITEM_0000075,ORD_000049,PROD_APP_533,Apparel,1,21.94
ITEM_0000076,ORD_000049,PROD_APP_381,Apparel,1,31.53
ITEM_0000077,ORD_000050,PROD_BOO_135,Books,1,22.57
ITEM_0000078,ORD_000050,PROD_ELE_807,Electronics,2,281.78
ITEM_0000079,ORD_000050,PROD_HOM_665,Home,1,103.06
ITEM_0000080,ORD_000050,PROD_HOM_931,Home,1,89.54
ITEM_0000081,ORD_000051,PROD_HOM_987,Home,1,121.33
ITEM_0000082,ORD_000051,PROD_BEA_582,Beauty,1,56.32
ITEM_0000083,ORD_000052,PROD_ELE_944,Electronics,1,133.95
ITEM_0000084,ORD_000052,PROD_ELE_460,Electronics,1,302.52
ITEM_0000085,ORD_000052,PROD_BOO_855,Books,1,23.29
ITEM_0000086,ORD_000053,PROD_BEA_911,Beauty,2,32.57
ITEM_0000087,ORD_000053,PROD_APP_366,Apparel,1,53.55
ITEM_0000088,ORD_000054,PROD_HOM_286,Home,1,69.05
ITEM_0000089,ORD_000055,PROD_HOM_274,Home,2,35.26
ITEM_0000090,ORD_000056,PROD_BEA_947,Beauty,1,15.93
ITEM_0000091,ORD_000056,PROD_APP_295,Apparel,2,67.87
ITEM_0000092,ORD_000056,PROD_HOM_394,Home,1,69.67
ITEM_0000093,ORD_000057,PROD_HOM_809,Home,1,47.59
ITEM_0000094,ORD_000058,PROD_ELE_197,Electronics,1,58.76
ITEM_0000095,ORD_000059,PROD_BOO_786,Books,2,21.16
ITEM_0000096,ORD_000060,PROD_BOO_490,Books,1,16.68
ITEM_0000097,ORD_000061,PROD_BOO_283,Books,1,19.08
ITEM_0000098,ORD_000062,PROD_BOO_949,Books,1,13.8
ITEM_0000099,ORD_000062,PROD_HOM_546,Home,2,61.02
ITEM_0000100,ORD_000062,PROD_BEA_882,Beauty,2,37.78
ITEM_0000101,ORD_000063,PROD_APP_226,Apparel,1,28.24
ITEM_0000102,ORD_000064,PROD_BOO_779,Books,1,20.84
ITEM_0000103,ORD_000064,PROD_ELE_638,Electronics,1,105.0
ITEM_0000104,ORD_000065,PROD_ELE_436,Electronics,1,285.27
ITEM_0000105,ORD_000066,PROD_BOO_232,Books,1,9.07
ITEM_0000106,ORD_000067,PROD_BOO_716,Books,1,16.77
ITEM_0000107,ORD_000067,PROD_APP_345,Apparel,2,71.26
ITEM_0000108,ORD_000068,PROD_HOM_762,Home,1,105.03
ITEM_0000109,ORD_000068,PROD_ELE_405,Electronics,1,195.65
ITEM_0000110,ORD_000069,PROD_APP_467,Apparel,1,69.08
ITEM_0000111,ORD_000069,PROD_BOO_304,Books,1,27.48
ITEM_0000112,ORD_000070,PROD_BOO_185,Books,1,17.62
ITEM_0000113,ORD_000071,PROD_HOM_463,Home,1,30.63
ITEM_0000114,ORD_000071,PROD_BOO_116,Books,1,22.55
ITEM_0000115,ORD_000072,PROD_HOM_421,Home,1,79.15
ITEM_0000116,ORD_000073,PROD_BOO_843,Books,1,21.61
ITEM_0000117,ORD_000074,PROD_BEA_923,Beauty,1,16.25
ITEM_0000118,ORD_000074,PROD_ELE_295,Electronics,1,45.72
ITEM_0000119,ORD_000075,PROD_APP_765,Apparel,1,69.74
ITEM_0000120,ORD_000076,PROD_BEA_251,Beauty,1,11.09
ITEM_0000121,ORD_000077,PROD_BEA_120,Beauty,2,39.26
ITEM_0000122,ORD_000077,PROD_APP_401,Apparel,1,69.2
ITEM_0000123,ORD_000077,PROD_ELE_441,Electronics,1,266.95
ITEM_0000124,ORD_000077,PROD_BEA_525,Beauty,1,46.85
ITEM_0000125,ORD_000078,PROD_BEA_584,Beauty,1,41.13
ITEM_0000126,ORD_000079,PROD_BEA_526,Beauty,1,43.66
ITEM_0000127,ORD_000079,PROD_HOM_915,Home,1,146.22
ITEM_0000128,ORD_000080,PROD_APP_277,Apparel,1,54.37
ITEM_0000129,ORD_000080,PROD_ELE_912,Electronics,1,397.76
ITEM_0000130,ORD_000081,PROD_BOO_373,Books,2,26.77
ITEM_0000131,ORD_000081,PROD_BOO_718,Books,1,23.54
ITEM_0000132,ORD_000082,PROD_ELE_208,Electronics,1,259.48
ITEM_0000133,ORD_000083,PROD_BOO_207,Books,1,10.6
ITEM_0000134,ORD_000084,PROD_BOO_610,Books,1,10.18
ITEM_0000135,ORD_000084,PROD_HOM_442,Home,1,35.99
ITEM_0000136,ORD_000085,PROD_BEA_449,Beauty,1,18.56
ITEM_0000137,ORD_000086,PROD_APP_255,Apparel,1,49.43
ITEM_0000138,ORD_000086,PROD_APP_241,Apparel,1,41.87
ITEM_0000139,ORD_000087,PROD_APP_688,Apparel,1,56.05
ITEM_0000140,ORD_000087,PROD_BOO_402,Books,1,27.49
ITEM_0000141,ORD_000088,PROD_HOM_452,Home,1,56.37
ITEM_0000142,ORD_000088,PROD_BOO_725,Books,2,23.41
ITEM_0000143,ORD_000089,PROD_BOO_767,Books,1,15.6
ITEM_0000144,ORD_000090,PROD_APP_123,Apparel,1,66.78
ITEM_0000145,ORD_000090,PROD_BOO_364,Books,1,25.03
ITEM_0000146,ORD_000091,PROD_ELE_961,Electronics,1,265.72
ITEM_0000147,ORD_000092,PROD_HOM_782,Home,1,112.93
ITEM_0000148,ORD_000093,PROD_APP_207,Apparel,1,52.85
ITEM_0000149,ORD_000094,PROD_BEA_948,Beauty,1,14.61
ITEM_0000150,ORD_000095,PROD_APP_247,Apparel,1,46.51
ITEM_0000151,ORD_000095,PROD_BEA_232,Beauty,2,35.66
ITEM_0000152,ORD_000095,PROD_BOO_220,Books,1,18.02
ITEM_0000153,ORD_000095,PROD_ELE_864,Electronics,1,241.25
ITEM_0000154,ORD_000096,PROD_ELE_223,Electronics,1,144.25
ITEM_0000155,ORD_000096,PROD_BOO_256,Books,1,14.71
ITEM_0000156,ORD_000096,PROD_HOM_410,Home,1,23.64
ITEM_0000157,ORD_000097,PROD_BOO_235,Books,1,19.1
ITEM_0000158,ORD_000098,PROD_HOM_191,Home,1,106.39
ITEM_0000159,ORD_000099,PROD_BOO_146,Books,2,27.58
ITEM_0000160,ORD_000100,PROD_APP_868,Apparel,1,73.3
ITEM_0000161,ORD_000101,PROD_BOO_424,Books,1,10.0
ITEM_0000162,ORD_000102,PROD_APP_361,Apparel,1,25.02
ITEM_0000163,ORD_000103,PROD_APP_604,Apparel,1,47.79
ITEM_0000164,ORD_000104,PROD_BOO_516,Books,1,8.64
ITEM_0000165,ORD_000105,PROD_BOO_533,Books,2,20.21
ITEM_0000166,ORD_000105,PROD_ELE_101,Electronics,1,386.0
ITEM_0000167,ORD_000106,PROD_ELE_593,Electronics,1,130.32
ITEM_0000168,ORD_000107,PROD_APP_699,Apparel,1,33.29
ITEM_0000169,ORD_000107,PROD_APP_856,Apparel,1,19.55
ITEM_0000170,ORD_000108,PROD_HOM_999,Home,1,99.36
ITEM_0000171,ORD_000108,PROD_HOM_798,Home,2,102.57
ITEM_0000172,ORD_000109,PROD_HOM_449,Home,1,144.67
ITEM_0000173,ORD_000110,PROD_ELE_723,Electronics,1,364.52
ITEM_0000174,ORD_000111,PROD_ELE_227,Electronics,1,377.05
ITEM_0000175,ORD_000112,PROD_HOM_796,Home,2,66.52
ITEM_0000176,ORD_000113,PROD_APP_605,Apparel,2,17.39
ITEM_0000177,ORD_000113,PROD_BEA_820,Beauty,1,20.45
ITEM_0000178,ORD_000114,PROD_APP_635,Apparel,1,32.83
ITEM_0000179,ORD_000115,PROD_HOM_629,Home,1,134.89
ITEM_0000180,ORD_000116,PROD_ELE_501,Electronics,1,69.45
ITEM_0000181,ORD_000117,PROD_ELE_584,Electronics,1,162.69
ITEM_0000182,ORD_000118,PROD_BOO_734,Books,1,10.1
ITEM_0000183,ORD_000118,PROD_BEA_692,Beauty,1,58.73
ITEM_0000184,ORD_000118,PROD_ELE_486,Electronics,1,345.17
ITEM_0000185,ORD_000119,PROD_HOM_725,Home,1,28.55
ITEM_0000186,ORD_000120,PROD_BEA_198,Beauty,1,30.56
ITEM_0000187,ORD_000120,PROD_BOO_906,Books,1,8.23
ITEM_0000188,ORD_000121,PROD_BOO_229,Books,1,13.64
ITEM_0000189,ORD_000122,PROD_HOM_477,Home,3,87.3
ITEM_0000190,ORD_000122,PROD_APP_158,Apparel,1,68.25
ITEM_0000191,ORD_000123,PROD_APP_755,Apparel,2,66.04
ITEM_0000192,ORD_000124,PROD_ELE_754,Electronics,1,122.9
ITEM_0000193,ORD_000125,PROD_HOM_144,Home,3,45.89
ITEM_0000194,ORD_000125,PROD_HOM_278,Home,1,54.06
ITEM_0000195,ORD_000126,PROD_APP_639,Apparel,3,79.85
ITEM_0000196,ORD_000127,PROD_APP_435,Apparel,1,55.91
ITEM_0000197,ORD_000128,PROD_BEA_314,Beauty,1,49.23
ITEM_0000198,ORD_000129,PROD_BEA_869,Beauty,2,47.56
ITEM_0000199,ORD_000130,PROD_HOM_638,Home,1,113.03
ITEM_0000200,ORD_000131,PROD_ELE_402,Electronics,1,166.57
ITEM_0000201,ORD_000132,PROD_BEA_561,Beauty,1,30.45
ITEM_0000202,ORD_000132,PROD_BEA_424,Beauty,1,11.24
ITEM_0000203,ORD_000133,PROD_ELE_401,Electronics,1,224.6
ITEM_0000204,ORD_000134,PROD_BOO_367,Books,1,14.59
ITEM_0000205,ORD_000135,PROD_BEA_941,Beauty,1,42.77
ITEM_0000206,ORD_000136,PROD_APP_539,Apparel,1,60.37
ITEM_0000207,ORD_000137,PROD_ELE_242,Electronics,1,382.95
ITEM_0000208,ORD_000138,PROD_BOO_687,Books,2,29.56
ITEM_0000209,ORD_000138,PROD_APP_500,Apparel,1,40.12
ITEM_0000210,ORD_000139,PROD_HOM_980,Home,2,70.84
ITEM_0000211,ORD_000140,PROD_ELE_498,Electronics,2,351.65
ITEM_0000212,ORD_000141,PROD_BEA_262,Beauty,1,56.96
ITEM_0000213,ORD_000141,PROD_BOO_307,Books,1,23.07
ITEM_0000214,ORD_000142,PROD_BEA_719,Beauty,1,36.29
ITEM_0000215,ORD_000143,PROD_BOO_140,Books,1,14.33
ITEM_0000216,ORD_000144,PROD_ELE_345,Electronics,2,96.86
ITEM_0000217,ORD_000145,PROD_ELE_814,Electronics,1,364.8
ITEM_0000218,ORD_000145,PROD_BEA_521,Beauty,3,37.64
ITEM_0000219,ORD_000146,PROD_HOM_519,Home,1,52.86
ITEM_0000220,ORD_000147,PROD_BEA_243,Beauty,1,23.96
ITEM_0000221,ORD_000147,PROD_APP_274,Apparel,1,54.45
ITEM_0000222,ORD_000148,PROD_ELE_793,Electronics,1,198.64
ITEM_0000223,ORD_000149,PROD_BEA_813,Beauty,1,41.74
ITEM_0000224,ORD_000150,PROD_APP_796,Apparel,1,29.34
ITEM_0000225,ORD_000151,PROD_APP_841,Apparel,1,42.02
ITEM_0000226,ORD_000151,PROD_ELE_935,Electronics,1,242.34
ITEM_0000227,ORD_000152,PROD_ELE_337,Electronics,1,168.37
ITEM_0000228,ORD_000152,PROD_APP_115,Apparel,1,35.56
ITEM_0000229,ORD_000152,PROD_BEA_317,Beauty,1,13.3
ITEM_0000230,ORD_000153,PROD_BEA_794,Beauty,2,48.57
ITEM_0000231,ORD_000154,PROD_BEA_169,Beauty,1,40.43
ITEM_0000232,ORD_000154,PROD_BOO_559,Books,1,22.09
ITEM_0000233,ORD_000155,PROD_BOO_554,Books,1,15.23
ITEM_0000234,ORD_000156,PROD_BEA_763,Beauty,1,47.53
ITEM_0000235,ORD_000157,PROD_APP_309,Apparel,1,26.29
ITEM_0000236,ORD_000158,PROD_ELE_536,Electronics,1,152.13
ITEM_0000237,ORD_000159,PROD_BEA_878,Beauty,1,57.69
ITEM_0000238,ORD_000159,PROD_BEA_120,Beauty,1,31.37
ITEM_0000239,ORD_000160,PROD_BOO_847,Books,1,18.81
ITEM_0000240,ORD_000161,PROD_HOM_621,Home,1,102.55
ITEM_0000241,ORD_000161,PROD_HOM_813,Home,1,70.09
ITEM_0000242,ORD_000161,PROD_BEA_853,Beauty,1,33.89
ITEM_0000243,ORD_000162,PROD_BEA_507,Beauty,1,58.71
ITEM_0000244,ORD_000162,PROD_ELE_630,Electronics,2,355.36
